Date,Open,High,Low,Close,Adj Close,Volume,symbol,return,SMA_5,SMA_15,SMA_ratio,SMA5_Volume,SMA15_Volume,SMA_Volume_Ratio,prev_close,TR,prev_high,prev_low,Lowest_5D,High_5D,Lowest_15D,High_15D,Stochastic_5,Stochastic_15,Stochastic_%D_5,Stochastic_%D_15,Stochastic_Ratio,Diff,Up,Down,avg_5up,avg_5down,avg_15up,avg_15down,RS_5,RS_15,RSI_5,RSI_15,RSI_ratio,5Ewm,15Ewm,MACD,15MA,SD,upperband,lowerband,RC,Target,sentiment_score
7/31/23,196.0599976,196.4900055,195.2599945,196.4499969,195.9269562,38824100,AAPL,0.003165986,194.723999,192.8893341,0.990578126,43866160,51059560,0.85911747,195.8300018,1.230010986,196.6300049,194.1399994,192.5500031,197.1999969,186.6000061,198.2299957,83.87094657,84.69475179,57.21502474,55.21654649,1.036193467,0.619995117,0.619995117,0,0.995999146,0.255999756,0.871333822,0.348667399,3.890625373,2.499040128,79.55271721,71.42073359,1.113860265,194.9677209,193.1039496,-1.863771296,192.8893341,2.323228698,197.5357915,188.2428767,0.041567236,-7.261516307,0.383439394
8/1/23,196.2400055,196.7299957,195.2799988,195.6100006,195.0891876,35175100,AAPL,-0.004275879,195.1220001,193.391334,0.991130338,43444540,50295360,0.86378823,196.4499969,1.449996948,196.4900055,195.2599945,192.5500031,197.1999969,188.4700012,198.2299957,65.80648549,73.15577263,63.54775215,58.057148,1.094572406,-0.839996338,0,0.839996338,0.822000122,0.423999023,0.871333822,0.369333903,1.938683998,2.359203459,65.97116258,70.23103804,0.939344831,195.1818142,193.417206,-1.764608148,193.391334,2.000995693,197.3933254,189.3893426,0.040036148,-8.300855076,0.383439394
8/2/23,195.0399933,195.1799927,191.8500061,192.5800018,192.0672607,50389300,AAPL,-0.015489999,194.7380005,193.5786672,0.994046702,44028020,49604633.33,0.887578781,195.6100006,3.759994507,196.7299957,195.2799988,191.8500061,197.1999969,189.6300049,198.2299957,13.6448033,34.30232661,53.79579356,55.4851955,0.969552204,-3.029998779,0,3.029998779,0.645999146,1.029998779,0.758666992,0.571333822,0.62718438,1.327887416,38.54414949,57.04259609,0.675708192,194.3145434,193.3125555,-1.001987893,193.5786672,1.754048332,197.0867639,190.0705705,0.014807385,-6.143970258,0.383439394
8/3/23,191.5700073,192.3699951,190.6900024,191.1699982,190.6610107,61235200,AAPL,-0.007321652,194.3279999,193.6206675,0.996360111,46783020,50930826.67,0.918559997,192.5800018,1.88999939,195.1799927,191.8500061,190.6900024,196.7299957,189.6300049,198.2299957,7.946957965,17.90691774,48.71850145,51.68770842,0.942554873,-1.410003662,0,1.410003662,0.645999146,1.055999756,0.707334391,0.665334066,0.611741756,1.063126672,37.95532095,51.52987873,0.736569188,193.2663616,193.0447358,-0.221625819,193.6206675,1.682160275,196.9849881,190.256347,0.003306418,-3.951057386,0.383439394
8/4/23,185.5200043,187.3800049,181.9199982,181.9900055,181.5054626,115799700,AAPL,-0.048020049,191.5600006,193.0406677,1.007729521,60284680,55879213.33,1.078839096,191.1699982,9.25,192.3699951,190.6900024,181.9199982,196.7299957,181.9199982,198.2299957,0.472703145,0.42922952,34.34837929,46.37281192,0.740700809,-9.179992676,0,9.179992676,0.123999023,2.891998291,0.697333781,1.277333577,0.042876589,0.545929265,4.111377117,35.31398734,0.116423475,189.5075763,191.6628945,2.155318274,193.0406677,3.393826218,199.8283202,186.2530153,-0.045623771,-2.284084747,0.383439394
8/7/23,182.1300049,183.1300049,177.3500061,178.8500061,178.3738098,97576100,AAPL,-0.017253691,188.0400024,192.0313344,1.021225973,72035080,59016273.33,1.220596895,181.9900055,5.779998779,187.3800049,181.9199982,177.3500061,196.7299957,177.3500061,198.2299957,7.739942224,7.183911616,19.12217842,40.50711703,0.472069597,-3.13999939,0,3.13999939,0,3.519998169,0.477333577,1.48666687,0,0.321076353,0,24.3041481,0,185.9550529,190.0612835,4.106230606,192.0313344,4.974543189,201.9804208,182.0822481,-0.078045255,-1.057381674,0.383439394
8/8/23,179.6900024,180.2700043,177.5800018,179.8000031,179.3212738,67823000,AAPL,0.005311696,184.8780029,191.1026683,1.033669042,78564660,60314220,1.30258934,178.8500061,2.690002441,183.1300049,177.3500061,177.3500061,195.1799927,177.3500061,198.2299957,13.74087938,11.73370769,8.709057204,35.43910972,0.245747065,0.949996948,0.949996948,0,0.18999939,3.351998901,0.540666707,1.469332886,0.056682414,0.367967472,5.364186373,26.89884661,0.199420683,183.9033696,188.7786234,4.875253827,191.1026683,5.85679595,202.8162602,179.3890764,-0.07190416,-0.779559043,0.383439394
8/9/23,180.8699951,180.9299927,177.0099945,178.1900024,177.7155762,60378500,AAPL,-0.008954397,182.0000031,189.9753347,1.043820503,80562500,58972300,1.366107478,179.8000031,3.919998169,180.2700043,177.5800018,177.0099945,192.3699951,177.0099945,197.1999969,7.682343019,5.844516057,7.516565146,31.71095038,0.237033739,-1.61000061,0,1.61000061,0.18999939,3.067999268,0.449332682,1.57666626,0.061929412,0.28498909,5.831782319,22.17832759,0.262949598,181.9989139,187.4550458,5.456131924,189.9753347,6.611266557,203.1978678,176.7528016,-0.086673517,-1.131044589,0.383439394
8/10/23,179.4799957,180.75,177.6000061,177.9700012,177.4961548,54686900,AAPL,-0.001234644,179.3600037,188.9646678,1.053549643,79252840,58646013.33,1.351376428,178.1900024,3.149993896,180.9299927,177.0099945,177.0099945,187.3800049,177.0099945,197.1999969,9.257528962,4.754861802,7.778679346,29.6149378,0.262660668,-0.220001221,0,0.220001221,0.18999939,2.829998779,0.449332682,1.459999593,0.067137622,0.307762197,6.291374333,23.53349849,0.267336976,180.655943,186.2694152,5.613472238,188.9646678,7.224849035,203.4143658,174.5149697,-0.078496367,-0.422964115,0.383439394
8/11/23,177.3200073,178.6199951,176.5500031,177.7899933,177.556076,51988100,AAPL,-0.001011451,178.5200012,188.0213338,1.05322279,66490520,57317366.67,1.16004143,177.9700012,2.069992065,180.75,177.6000061,176.5500031,183.1300049,176.5500031,197.1999969,18.84483114,6.004797099,11.45310495,30.195063,0.379303893,-0.180007935,0,0.180007935,0.18999939,1.030001831,0.449332682,1.392666626,0.184465099,0.322641955,15.57370488,24.3937487,0.63843016,179.7006264,185.2094875,5.508861064,188.0213338,7.715711056,203.4527559,172.5899117,-0.073721001,-2.230713712,0.383439394
